standardized,pEC50
COC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=NC(OC)=CC=C3)N2C2CCOCC2)C=C1,6.853871964
COC1=CC=CC(C(=O)NNC(=NS(C)(=O)=O)NC2=C(OC)C=CC=C2OC)=N1,6.657577319
COC1=CC=CC(C(=O)NNC(=NS(=O)(=O)C(C)C(OC)C2=NC=C(C)C=N2)NC2=C(OC)C=CC=C2OC)=N1,9.721246399
COC1=C(N2C(NS(=O)(=O)CCC3=C(C#N)C=C(F)C=C3)=NN=C2C2=CC(Cl)=CN=C2)C(OC)=CC=C1,7.920818754
COC1=CC=CC(C2=NN=C(NS(=O)(=O)CCC3=C(C#N)C=C(F)C=C3)N2C2=C(OC)C=CC=C2OC)=N1,9.244125144
COC1=CC=CC(OC)=C1NC(=NS(=O)(=O)C(C)C(C)C1=NC=C(C)C=N1)NNC(=O)C1=CN=CC(C)=C1,9.494850022
CC1=CN=C(C(C)C(C)S(N)(=O)=O)N=C1,9.522878745
CC(C(O)C1=NC=C(F)C=C1)S(N)(=O)=O,9.30980392
COC1=C(N2C(N)=NN=C2C2=CC=CC=N2)C(OC)=CC=C1,7.229147988
COC1=C(N2C(N)=NN=C2C2=CN=CC=C2)C(OC)=CC=C1,7.795880017
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)CC(O)C2(C)COC2)=NN=C1C1=CN=CC(C)=C1,6.795880017
CCC1=CC(C2=NN=C(NS(=O)(=O)C(C)CC3=NC=C(F)C=N3)N2C2=C(OC)C=CC=C2OC)=CN=C1,8.102372909
COC1=C(N2C(NS(=O)(=O)CCC3=C(C#N)C=C(F)C=C3)=NN=C2C2CCCC(=O)N2)C(OC)=CC=C1,6.173925197
OCC1CC(F)(F)C1,7.455931956
CC1(C)CC(C(=O)O)C1,6.657577319
COC(C1CC(C)(C)C1)C(C)S(N)(=O)=O,8.124938737
CCOC(C1=NC=C(C)C=N1)C(C)S(N)(=O)=O,8.236572006
COC1=C(N=C=S)C=CC=N1,8.508638306
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(O)C2=NC=C(C)C=N2)C=C1,8.259637311
CC#CC=O,7.568636236
CC=CC1=NN=C(C)C=C1,8.698970004
NS(=O)(=O)C1CCCNC1,7.853871964
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC(C)=C3)N2C2=C(C)C=CC=C2C)N=C1,7.657577319
COC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=NC(OC)=CC=C3)N2C2=C(F)C=CC=C2F)N=C1,9.27572413
COC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC(C)=C3)N2C2=C(F)C=CC=C2F)N=C1,8.180456064
